End of program
         22954360 function calls in 21.342 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   21.342   21.342 <string>:1(<module>)
        1    4.360    4.360   21.341   21.341 permut_pscalar1.py:1(<module>)
 11473176    6.444    0.000   16.718    0.000 permut_pscalar1.py:7(dot_product)
        1    0.001    0.001   21.342   21.342 {execfile}
     2000    0.000    0.000    0.000    0.000 {len}
     1000    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
     2000    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
     2000    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'writelines' of 'file' objects}
     1000    0.261    0.000    0.261    0.000 {min}
        2    0.000    0.000    0.000    0.000 {open}
        1    0.000    0.000    0.000    0.000 {range}
 11473176   10.273    0.000   10.273    0.000 {sum}


