End of program
         22957361 function calls in 18.792 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   18.792   18.792 <string>:1(<module>)
        1    3.885    3.885   18.791   18.791 permut_pscalar2.py:1(<module>)
 11473176    5.722    0.000   14.660    0.000 permut_pscalar2.py:7(dot_product)
        1    0.001    0.001   18.792   18.792 {execfile}
        1    0.000    0.000    0.000    0.000 {iter}
     2000    0.000    0.000    0.000    0.000 {len}
     4000    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
     2000    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     2000    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'writelines' of 'file' objects}
     1000    0.243    0.000    0.243    0.000 {min}
        2    0.000    0.000    0.000    0.000 {open}
        1    0.000    0.000    0.000    0.000 {range}
 11473176    8.938    0.000    8.938    0.000 {sum}


